TYPE,INDICATOR,CREATED
hash,6abbd89e6ab5e1b63c38a8f78271a97d19bafff4959ea9d5bd5da3b185eb61e6,07/10/2022 23:50
hash,501fe2509581d43288664f0d2825a6a47102cd614f676bf39f0f80ab2fd43f2c,07/10/2022 23:50
hash,4ed7609cbb86ea0b7607b8a002e7f85b316903c3b6801240c9576aae8b3052ff,07/10/2022 23:50
hash,4554dc95f99d6682595812b677fb131a7e7c51a71daf461a57a57a0d903bb3fa,07/10/2022 23:50
hash,428b8552c1eeca0bbd4ae738bd5e18849d4dc6305e1333905ff44cd9106db85d,07/10/2022 23:50
hash,216a733c391337fa303907a15fa55f01c9aeb128365fb6d6d245f7c7ec774100,07/10/2022 23:50
hash,14e7cc2eadc7c9bac1930f37e25303212c8974674b21ed052a483727836a5e43,07/10/2022 23:50
hash,e8676686a42d6d5eb7957439297e288bfe5188b6,07/10/2022 23:50
hash,cfdf141404d8783f2c6181d185b3e1ad107e4169,07/10/2022 23:50
hash,c3582b089d6c7e9e7b53597cea53a18f3d8e1d02,07/10/2022 23:50
hash,aa5c39de77f15a91ed580e7a0f132eb14c970235,07/10/2022 23:50
hash,a295f15f38f8d4e83b5db8f51addae2d2df328dd,07/10/2022 23:50
hash,8fec87a06466239426a6da7aa90eaadb27e1e400,07/10/2022 23:50
hash,3d78c842b16ac7eaf3d9a092f4bda00abf3378e5,07/10/2022 23:50
hash,3c1c0828125b20eb90a91ae2dea846f377c2c578,07/10/2022 23:50
hash,2f4085cb6a0b2dd4422f59894dca5cf881eb8ccf,07/10/2022 23:50
hash,f7205f07677f0a0995cb232e3cbc7f73,07/10/2022 23:50
hash,c249e79b05d3385a50bd0d54881b59bd,07/10/2022 23:50
hash,baacfe8643ec95c12277961dabb411f2,07/10/2022 23:50
hash,b595a580fdfe1308b47cf07805c81c32,07/10/2022 23:50
hash,877a637058b7a7397ce2d329f63238a1,07/10/2022 23:50
hash,7a751896188e39314b88080cd7425543,07/10/2022 23:50
hash,76118b65f29856db2abecd1193d08cf1,07/10/2022 23:50
hash,7332a59679c7732855d11dff20061a76,07/10/2022 23:50
hash,54753ca6879ab9f1d06264147cdf466b,07/10/2022 23:50
hash,355d67437448ef5b5ce78ea43dc0eb17,07/10/2022 23:50
hash,2615bd2173dac44a6ad14702f3c93e67,07/10/2022 23:50
hash,0c79bee7d1787639a4772d6638159a35,07/10/2022 23:50
hash,0adb0e2ac8aa969fb088ee95c4a91536,07/10/2022 23:50
hash,fdeadd54dd29fe51b251242795c83c4defcdade23fdb4b589c05939ae42d6900,07/10/2022 23:50
hash,bf31d8b83e50a7af3e2dc746c74b85d64ce28d7c33b95c09cd46b9caa4d53cad,07/10/2022 23:50
hash,b8ebdc5b1e33b9382433151f62464d3860cf8c8950d2f1a0278ef77679a04d3b,07/10/2022 23:50
hash,af4bf44056fc0b8c538e1e677ed1453d1dd884e78e1d66d1d2b83abb79ff1161,07/10/2022 23:50
hash,891aba61b8fec4005f25d405ddfec4d445213c77fce1e967ba07f13bcbe0dad5,07/10/2022 23:50
hash,73942b1b5a8146090a40fe50a67c7c86c739329506db9ff5adc638ed7bb1654e,07/10/2022 23:50
hash,2af009cdf12e1f84f161a2d4f2b4f97155eb6ec6230265604edbc8b21afb5f1a,07/10/2022 23:50
hash,1b4fcd8497e6003009010a19abaa8981366922be96e93a84e30ca2885476ccd7,07/10/2022 23:50
hash,fe0bdaa10b42a2f3d9bddecf0dddd4ea1bc34a89,07/10/2022 23:50
hash,fc0eb612ebf10a39d0ed0f996d08a92daed3c277,07/10/2022 23:50
hash,f8100e6be9965750a7853df863289b359d966e9c,07/10/2022 23:50
hash,d41bd1cb516ce94177cc77186f368828ca0988b5,07/10/2022 23:50
hash,b39f90cb0023a34ec74a440cfbafab41c0b2a18d,07/10/2022 23:50
hash,9abda2d52bd0720163649c4d08b830e070663b81,07/10/2022 23:50
hash,42799d6bf9179a8ad72573eb580db48bbd0383e2,07/10/2022 23:50
hash,26f8852f4f23fd86b4c47f9083075eabd644a28d,07/10/2022 23:50
hash,f93ad6d45633f2f7e41535ac8db22231,07/10/2022 23:50
hash,d9a9d8d43db9dea9980d731d5af978e3,07/10/2022 23:50
hash,c08d22af7be3f9629c5cc48507b15cc6,07/10/2022 23:50
hash,6cd2cd149294bdb93f2756b654d9a800,07/10/2022 23:50
hash,55025e1d6a6198202048aeef1d7ea79d,07/10/2022 23:50
hash,44f3f936162eaeb4466686ac1a067ecc,07/10/2022 23:50
hash,294ce9a4a5b480efb54628175c3366f8,07/10/2022 23:50
hash,014a1c796947cfa8c1b8903180bc04c6,07/10/2022 23:50
ip,46.8.19.196,07/10/2022 23:50
hostname,weekly.tf,07/10/2022 23:50
hash,cd3f0808ae7fc8aa5554192ed5b0894779bf88a9c56a7c317ddc6a4d7c249e0e,07/10/2022 23:50
hash,c6d48514031cc6e83445b95f9ed4e975f2cdcebc2e9cc1914605058ff7af7764,07/10/2022 23:50
hash,9ac01cc861cfe9e340c66a5cd527ab8a7e3de345b851ebcf07a7ca08eeee2f88,07/10/2022 23:50
hash,38a5b96fd07f03041f6eff913b85fc621fa314e1de87326accb00ee218c37756,07/10/2022 23:50
hash,020fbe48b4da34a90d3422f211aa0338681a7cb9e99292b2b9d738a354ed97de,07/10/2022 23:50
hash,c8f93e66e64343f8fd67d25b111a29b5aa953e49,07/10/2022 23:50
hash,3cd8d8f15029298d8582bf6ccaf81da462ba8b36,07/10/2022 23:50
hash,d81d3c919ed3b1aaa2dc8d5fbe9cf382,07/10/2022 23:50
hash,d6e630749bdd4f16c37ca15886fc6bdc,07/10/2022 23:50
hash,ce70574f6c90835076d9b195e90cd275,07/10/2022 23:50
hash,af90600728c9d3d1270dd4da39a0f9e5,07/10/2022 23:50
hash,10adb0969eb2b385d6bb8ad8e91bb0c4,07/10/2022 23:50
